Номер,Проект,Инициатор,Ответственный,Приоритет,Влияние,Версия продукта,Категория,Создан,Видимость,Изменена,Тема,Состояние,Решение,Решена в версии
0000024,MyProject,Alexander L,Alexander L,высокий,малое,,General,2023-07-11,публичная,2023-07-11,"""Графическое наложение при выборе адреса электронной почты в поле email на странице ""РОЗРАХУНОК ВАРТОСТІ ПРОЄКТУ""",назначена,открыта,
0000023,MyProject,Alexander L,Alexander L,высокий,большое,,General,2023-07-11,публичная,2023-07-11,"""Иконка ""гамбургер-меню"", расположенная в левом верхнем углу при смене фона становятся не видима""",назначена,открыта,
0000022,MyProject,Alexander L,Alexander L,обычный,большое,,General,2023-07-11,публичная,2023-07-11,"""Иконки социальных сетей, расположенные в правом верхнем углу при смене фона становятся не видимыми """,назначена,открыта,
0000021,MyProject,Alexander L,Alexander L,высокий,большое,,General,2023-07-11,публичная,2023-07-11,"""Графическое наложение при выборе адреса электронной почты в поле email""",назначена,открыта,
0000020,MyProject,Alexander L,Alexander L,высокий,большое,,General,2023-07-11,публичная,2023-07-11,"""Ошибка загрузки карты исходного кода в DevTools: Не удалось загрузить содержимое""",назначена,открыта,
0000019,MyProject,Alexander L,Alexander L,обычный,малое,,General,2023-07-11,публичная,2023-07-11,"""[L10N] Ошибка в переводе на странице ""Web - додатки""""",назначена,открыта,
0000018,MyProject,Alexander L,Alexander L,обычный,малое,,General,2023-07-11,публичная,2023-07-11,"""[L10N] Ошибка в переводе на странице ""СТРIЧКА""""",назначена,открыта,
0000017,MyProject,Alexander L,Alexander L,обычный,малое,,General,2023-07-10,публичная,2023-07-10,"""[L10N] Ошибка в переводе на странице ""О КОМПАНИИ""""",назначена,открыта,
0000016,MyProject,Alexander L,Alexander L,обычный,малое,,General,2023-07-10,публичная,2023-07-10,"""[L10N] Ошибка в переводе на странице ""О КОМПАНИИ""""",назначена,открыта,
0000015,MyProject,Alexander L,Alexander L,высокий,малое,,General,2023-07-10,публичная,2023-07-10,"""[L10N] Ошибка в переводе раздела ""чат - боти"" на главной странице""",назначена,открыта,
